Average heights,          sum(height - 68.08847) / n,,,,,
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
65.2,8.343257945,,,,,-2.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
66.2,3.56631829,,,,,-1.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
67.2,0.789378635,,,,,-0.888469828
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
68.2,0.012438979,,,,,0.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
69.2,1.235499324,,,,,1.111530172
